Heading,Spec Heading,Check Item,Features,Selected Item,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Material / Color,Size
Machinery Arrangement General,Engineroom Rough In (From 3800 Weight Estimate),,"Assembly, Soft Patch",TRUE,Matt,Updated,WP 3800,Sideways,104072-01,Engineroom,TBD,N/A,Set,Nautical Structures,,,Guess,321,1,321,39.03%,97.27,0,9.22,31224,0,2959,,
Machinery Arrangement General,"I-Beams, Engineroom, Rough-In",,"Bilge Piping Support- I Beam, FG Series 1525 3 X 1/4""",TRUE,,Updated,,Sideways,,Engineroom,Foundations,N/A,Each,,,,Manufacturer,3,1.5,4.5,100.00%,80.94,-6.8,3.37,364,-31,15,,
Propulsion Arrangement,Engine Assembly Starboard Side,,"Engine, Starboard (MTU 16V2000 M84, Dry Weight)",FALSE,Matt,Updated,New,Down,,Engineroom,TBD,,Each,,,,Manufacturer,7654,1,,,88.75,4,6.5,,,,,
Propulsion Arrangement,Engine Assembly Starboard Side,,Engine Fluids - MTU,FALSE,Matt,Updated,,,,,Fluids,N/A,,,,,Manufacturer,630,1,,,88.75,4,6.5,,,,,
Propulsion Arrangement,Engine Assembly Starboard Side,,"Engine, Starboard (Cat C32 ACERT, Dry Weight)",TRUE,Matt,Updated,New,Down,,Engineroom,TBD,,Each,,,,Manufacturer,6780,1,6780,77.00%,88.75,4,6.5,601725,27120,44070,,
Propulsion Arrangement,Engine Assembly Starboard Side,,Engine Fluids - Cat,TRUE,Matt,Updated,,,,,Fluids,N/A,,,,,Manufacturer,362,1,362,4.11%,88.75,4,6.5,32128,1448,2353,,
Propulsion Arrangement,Engine Assembly Starboard Side,,"Engine Feet, Starboard",TRUE,Matt,Updated,New,Sideways,,Engineroom,Isolation Mounts,N/A,Each,,,,Guess,20,2,40,0.45%,86.3,4,4.75,3452,160,190,,
Propulsion Arrangement,Engine Assembly Starboard Side,,"Elbow & Flex Coupling Assembly, Engine, Starboard",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,Each,,,,Guess,50,1,50,0.57%,93.25,4,8.68,4663,200,434,,
Propulsion Arrangement,Engine Assembly Starboard Side,,"Water In, Engine, Starboard",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,Each,,,,Guess,6,1,6,0.07%,85.75,2.94,5.92,515,18,36,,
Propulsion Arrangement,Engine Assembly Starboard Side,,"Water Out, Engine Starboard",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,Each,,,,Guess,6,1,6,0.07%,85.75,4.26,7.33,515,26,44,,
Propulsion Arrangement,Engine Assembly Starboard Side,,"Gearbox, Engine Starboard (ZF 3050A)",TRUE,Matt,Updated,New,Down,,Engineroom,TBD,,Each,,,,Manufacturer,1263,1,1263,14.34%,93.25,4.04,5.1,117775,5103,6441,,
Propulsion Arrangement,Engine Assembly Starboard Side,,Gearbox Torsional Coupling,TRUE,Matt,Updated,,,,,,N/A,,,,,Manufacturer,168,1,168,1.91%,92.4,4,5.42,15523,672,911,,
Propulsion Arrangement,Engine Assembly Starboard Side,,Gearbox Fluids,TRUE,Matt,Updated,,,,,Fluids,N/A,,,,,Manufacturer,62,1,62,0.70%,93.17,4,4.58,5777,248,284,,
Propulsion Arrangement,Engine Assembly Starboard Side,,"Pump, Hydraulic Stabilizer SAE B-B Pad Mount",TRUE,Matt,Updated,New,Down,,Engineroom,Pump,TBD,EA,,,,Guess,35,1,35,0.40%,91,4,5.75,3185,140,201,,
Propulsion Arrangement,Engine Assembly Starboard Side,,"Pump, Hydraulic Steering SAE B-Pad Mount",TRUE,Matt,Updated,New,Down,,Engineroom,Pump,TBD,EA,,,,Manufacturer,33,1,33,0.37%,91,4,5.75,3003,132,190,,
Propulsion Arrangement,"Engine Assembly, Port Side",,"Engine, Port (MTU 16V2000 M84, Dry Weight)",FALSE,Matt,Updated,New,Down,,Engineroom,TBD,,EA,,,,Manufacturer,7654,1,,,88.75,-4,6.5,,,,,
Propulsion Arrangement,"Engine Assembly, Port Side",,Engine Fluids - MTU,FALSE,Matt,Updated,,,,,,,,,,,Manufacturer,630,1,,,88.75,-4,6.5,,,,,
Propulsion Arrangement,"Engine Assembly, Port Side",,"Engine, Port (Cat C32 Acert, Dry Weight)",TRUE,Matt,Updated,New,Down,,Engineroom,TBD,,EA,,,,Manufacturer,6780,1,6780,77.00%,88.75,-4,6.5,601725,-27120,44070,,
Propulsion Arrangement,"Engine Assembly, Port Side",,Engine Fluids - Cat,TRUE,Matt,Updated,,,,,,,,,,,Manufacturer,362,1,362,4.11%,88.75,-4,6.5,32128,-1448,2353,,
Propulsion Arrangement,"Engine Assembly, Port Side",,"Feet, Engine, Port",TRUE,Matt,Updated,New,Sideways,,Engineroom,Isolation Mounts,,EA,,,,Guess,20,2,40,0.45%,86.3,-4,4.75,3452,-160,190,,
Propulsion Arrangement,"Engine Assembly, Port Side",,"Elbow and Flex Coupling Assembly, Engine Port",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Guess,50,1,50,0.57%,93.25,-4,8.68,4663,-200,434,,
Propulsion Arrangement,"Engine Assembly, Port Side",,"Water In, Engine, Port",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Guess,6,1,6,0.07%,85.75,-4.83,5.92,515,-29,36,,
Propulsion Arrangement,"Engine Assembly, Port Side",,"Water Out, Engine, Port",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,E.,,,,Guess,6,1,6,0.07%,85.75,-3.74,7.33,515,-22,44,,
Propulsion Arrangement,"Engine Assembly, Port Side",,"Gearbox, Engine, Port (ZF 3050A)",TRUE,Matt,Updated,New,Down,,Engineroom,,,EA,,,,Manufacturer,1263,1,1263,14.34%,93.25,-4,5.1,117775,-5052,6441,,
Propulsion Arrangement,"Engine Assembly, Port Side",,Gearbox Torsional Coupling,TRUE,Matt,Updated,,,,,,,,,,,Manufacturer,168,1,168,1.91%,92.4,-4,5.42,15523,-672,911,,
Propulsion Arrangement,"Engine Assembly, Port Side",,Gearbox Fluids,TRUE,Matt,Updated,,,,,,,,,,,Manufacturer,62,1,62,0.70%,93.17,-4,4.58,5777,-248,284,,
Propulsion Arrangement,"Engine Assembly, Port Side",,"Pump, Hydraulic Stabilizer SAE B-B Pad Mount",TRUE,Matt,Updated,New,Down,,Engineroom,Pump,TBD,EA,,,,Guess,35,1,35,0.40%,91,-4,5.75,3185,-140,201,,
Propulsion Arrangement,"Engine Assembly, Port Side",,"Pump, Hydraulic Steering SAE B-Pad Mount",TRUE,Matt,Updated,New,Down,,Engineroom,Pump,TBD,EA,,,,Manufacturer,33,1,33,0.37%,91,-4,5.75,3003,-132,190,,
Propulsion Arrangement,Drive Line Assembly,,"Foundation, Starboard Engine",TRUE,Matt,Updated,New,Sideways,,Engineroom,Foundations,,EA,,,,Solidworks,880,1,880,16.18%,90,4,4.15,79200,3520,3652,,
Propulsion Arrangement,Drive Line Assembly,,"Foundation, Port Engine",TRUE,Matt,Updated,New,Sideways,,Engineroom,Foundations,,EA,,,,Solidworks,880,1,880,16.18%,90,-4,4.15,79200,-3520,3652,,
Propulsion Arrangement,Drive Line Assembly,,"Nut, Driveline Assembly shaft, Starboard",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,1.25,12,15,0.28%,94.38,4,4.31,1416,60,65,,
Propulsion Arrangement,Drive Line Assembly,,"Nut, Driveline Assembly shaft, Port",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,1.25,12,15,0.28%,94.38,-4,4.31,1416,-60,65,,
Propulsion Arrangement,Drive Line Assembly,,"Plate, Drive Line Assembly, Strut (Port)",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,37,1,37,0.68%,104.75,-6.3,4.4,3876,-233,163,,
Propulsion Arrangement,Drive Line Assembly,,"Plate, Drive Line Assembly, Strut, (Starboard)",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,37,1,37,0.68%,104.75,3.43,4.4,3876,127,163,,
Propulsion Arrangement,Drive Line Assembly,,"Plate, Drive Line Assembly, Strut, (Starboard)",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,37,1,37,0.68%,104.75,6.3,4.4,3876,233,163,,
Propulsion Arrangement,Drive Line Assembly,,"Plate, Drive Line Assembly, Strut, (Port)",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,37,1,37,0.68%,104.75,-3.43,4.4,3876,-127,163,,
Propulsion Arrangement,Drive Line Assembly,,"Zinc, Propeller Nut, 4"" SHAFT (Starboard)",TRUE,Matt,Updated,New,Down,,Engineroom,TBD,,EA,,,,Solidworks,29,1,29,0.53%,107.3,4,2.05,3112,116,59,,
Propulsion Arrangement,Drive Line Assembly,,"Zinc, Propeller Nut, 4"" SHAFT (Port)",TRUE,Matt,Updated,New,Down,,Engineroom,TBD,,EA,,,,Solidworks,29,1,29,0.53%,107.3,-4,2.05,3112,-116,59,,
Propulsion Arrangement,Drive Line Assembly,,"Rod, Threaded, 1""-8 X 8"" L, SS 316 (Starboard)",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,2,1,2,0.04%,104.67,4,3.97,209,8,8,,
Propulsion Arrangement,Drive Line Assembly,,"Rod, Threaded, 1""-8 X 8"" L, SS 316 (Port)",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,EA,,,,Solidworks,2,1,2,0.04%,104.67,-4,3.97,209,-8,8,,
Propulsion Arrangement,Drive Line Assembly,,"Nut, 1""-8"", Bronze (Starboard)",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,500,0.001,0.5,0.01%,104.67,4,3.97,52,2,2,,
Propulsion Arrangement,Drive Line Assembly,,"Nut, 1""-8"", Bronze (Port)",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,500,0.001,0.5,0.01%,104.67,-4,3.97,52,-2,2,,
Propulsion Arrangement,Drive Line Assembly,,"Nut, 1""-8"", Jam, Bronze (Starboard)",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,500,0.0005,0.3,0.00%,104.67,4,3.97,26,1,1,,
Propulsion Arrangement,Drive Line Assembly,,"Nut, 1""-8"", Jam, Bronze",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,,FT3,,,,Guess,500,0.0005,0.3,0.00%,104.67,-4,3.97,26,-1,1,,
Propulsion Arrangement,Drive Line Assembly,,"Cutless Bearing Housing, Bronze, 4"" ID X 5-1/4"" OD (Starboard)",TRUE,Matt,Updated,New,Down,,Engineroom,Bearings,N/A,EA,,,,Manufacturer,19.3,1,19.3,0.35%,105.27,-4,2.39,2032,-77,46,,
Propulsion Arrangement,Drive Line Assembly,,"Cutless Bearing Housing, Bronze,  4"" ID X 5-1/4"" OD"" OD (Port)",TRUE,Matt,Updated,New,Down,,Engineroom,Bearings,N/A,EA,,,,Manufacturer,19.3,1,19.3,0.35%,105.27,4,2.39,2032,77,46,,
Propulsion Arrangement,Drive Line Assembly,,"Shaft Seal -4"" Wartsilla (Starboard)",TRUE,Matt,Updated,New,Down,,Engineroom,TBD,N/A,EA,,,,Manufacturer,64,1,64,1.18%,95.75,4,4.07,6128,256,260,,
Propulsion Arrangement,Drive Line Assembly,,"Shaft Seal -4"" Wartsilla (Port)",TRUE,Matt,Updated,New,Down,,Engineroom,TBD,N/A,EA,,,,Manufacturer,64,1,64,1.18%,95.75,-4,4.07,6128,-256,260,,
Propulsion Arrangement,Drive Line Assembly,,Miscellaneous Hardware,TRUE,Matt,Updated,New,Sideways,NA,Engineroom,TBD,N/A,EA,,,,Guess,40,1,40,0.74%,100.74,0,3.18,4030,0,127,,
Propulsion Arrangement,"Shaft & Flange Assembly, Starboard",,"Retaining Plate, Gear Flange, 4"" Shaft",TRUE,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,5,1,5,0.77%,94.38,4,4.31,472,20,22,,
Propulsion Arrangement,"Shaft & Flange Assembly, Starboard",,"Propeller Shaft, 4"" X 146-3/8"" L (Flange to beginning of taper)",TRUE,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Rhino,560,1,560,86.29%,100.74,4,3.18,56414,2240,1783,,
Propulsion Arrangement,"Shaft & Flange Assembly, Starboard",,"Shaft Key, Aquamet 22 HS, 5/8"" X 1"" X 9-3/4""",TRUE,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,2,1,2,0.31%,94.42,4,4.3,189,8,9,,
Propulsion Arrangement,"Shaft & Flange Assembly, Starboard",,"Shaft Key, Aquamet 22 HS, 5/8"" X 1"" X 9-3/4""",TRUE,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,2,1,2,0.31%,106.7,4,2.1,213,8,4,,
Propulsion Arrangement,"Shaft & Flange Assembly, Starboard",,"Flange, Gearbox, For ZF3060,4"" Shaft",TRUE,Matt,Updated,New,Down,,Hull Exterior,TBD,N/A,EA,,,,Guess,80,1,80,12.33%,94.38,4,4.31,7550,320,345,,
Propulsion Arrangement,"Shaft and Flange Assembly, Port",,"Retaining Plate, Gear Flange, 4"" Shaft",TRUE,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,5,1,5,0.77%,94.38,-4,4.31,472,-20,22,,
Propulsion Arrangement,"Shaft and Flange Assembly, Port",,"Propeller Shaft, 4"" X 146-3/8"" L (Flange to beginning of taper)",TRUE,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Rhino,560,1,560,86.29%,100.74,-4,3.18,56414,-2240,1783,,
Propulsion Arrangement,"Shaft and Flange Assembly, Port",,"Shaft Key, Aquamet 22 HS, 5/8"" X 1"" X 9-3/4""",TRUE,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,2,1,2,0.31%,94.42,-4,4.3,189,-8,9,,
Propulsion Arrangement,"Shaft and Flange Assembly, Port",,"Shaft Key, Aquamet 22 HS, 5/8"" X 1"" X 9-3/4""",TRUE,Matt,Updated,New,Sideways,,Hull Exterior,TBD,N/A,EA,,,,Guess,2,1,2,0.31%,106.7,-4,2.1,213,-8,4,,
Propulsion Arrangement,"Shaft and Flange Assembly, Port",,"Flange, Gearbox, For ZF3060,4"" Shaft",TRUE,Matt,Updated,New,Down,,Hull Exterior,TBD,N/A,EA,,,,Guess,80,1,80,12.33%,94.38,-4,4.31,7550,-320,345,,
Propulsion Arrangement,Propulsion Shaft Struts,,"Strut, 3500 Configuration, Starboard, Nibral, Cast",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,EA,,,,Rhino,432,1,432,50.00%,105.06,3.8,3.15,45386,1642,1361,,
Propulsion Arrangement,Propulsion Shaft Struts,,"Strut, 3500 Configuration, Port, Nibral, Cast",TRUE,Matt,Updated,New,Sideways,,Engineroom,TBD,N/A,EA,,,,Rhino,432,1,432,50.00%,105.06,-3.8,3.15,45386,-1642,1361,,
Propulsion Arrangement,Propellers,,"Propeller Port: LH 50"" x 50"" x 5-blade 1.05 DAR",TRUE,Matt,Updated,New,Down,,Hull Exterior,TBD,N/A,EA,,,,Manufacturer Est.,535,1,535,50.00%,106.67,-4,2.14,57070,-2140,1145,,
Propulsion Arrangement,Propellers,,"Propeller Stbd: RH 50"" x 50"" x 5-blade 1.05 DAR",TRUE,Matt,Updated,New,Down,,Hull Exterior,TBD,N/A,EA,,,,Manufacturer Est.,535,1,535,50.00%,106.67,4,2.14,57070,2140,1145,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Riser, Starboard",TRUE,Matt,Updated,New,Sideways,103290.02-01,Engineroom,Exhaust,N/A,LF,,,,Calc,6.5,9.5,61.8,8.78%,94.7,6.19,11.46,5848,382,708,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Riser, Port",TRUE,Matt,Updated,New,Sideways,103290.03-01,Engineroom,Exhaust,N/A,EA,,,,Calc,6.5,9.5,61.8,8.78%,94.7,-6.19,11.46,5848,-382,708,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"14"" X 16"" Mixer Yank, Flanged",TRUE,Matt,Updated,New,Sideways,103290.04-01,Engineroom,Tanks,N/A,EA,,,,Guess,20,2,40,5.69%,95.15,0,9.95,3806,0,398,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Mount, Main Engine Exhaust, Penetration",TRUE,Matt,Updated,New,Sideways,103290.001-01,Engineroom,Exhaust,N/A,EA,,,,Guess,8,2,16,2.27%,97.72,0,7.97,1564,0,128,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Pipe, Main Engine, Port Exhaust",TRUE,Matt,Updated,New,Sideways,103290.002-01,Engineroom,Exhaust,N/A,EA,,,,Calc,3,17.5,52.5,7.46%,105.73,10.75,7.75,5551,564,407,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Pipe, Main Engine, Starboard Exhaust",TRUE,Matt,Updated,New,Sideways,103290.003-01,Engineroom,Exhaust,N/A,EA,,,,Calc,3,17.5,52.5,7.46%,105.73,-10.75,7.76,5551,-564,407,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Exhaust Hose, Blue Silicone Double Hump 16"" X 14"" L",TRUE,Matt,Updated,New,Sideways,102224-01,Engineroom,Exhaust,N/A,EA,,,,Calc,9.5,2,19,2.70%,95.2,0,9.22,1809,0,175,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Muffler, Bottomless, 16"" Inlet X 18"" Outlet, Port",TRUE,Matt,Updated,New,Sideways,103378-01,Engineroom,Exhaust,N/A,EA,,,,Guess,150,1,150,21.32%,95.25,-9.7,7.41,14288,-1455,1112,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Muffler, Bottomless, 16"" Inlet X 18"" Outlet, Starboard",TRUE,Matt,Updated,New,Sideways,103379-01,Engineroom,Exhaust,N/A,EA,,,,Guess,150,1,150,21.32%,95.25,9.7,7.41,14288,1455,1112,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Elbow Fiberglass, 18"" Diameter",TRUE,Matt,Updated,New,Sideways,103378.001-01,Engineroom,Exhaust,N/A,EA,,,,Guess,5,2,10,1.42%,95.18,0,5.17,952,0,52,,"18"""
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Elbow, Fiberglass, 8""-45 Degree",TRUE,Matt,Updated,New,Sideways,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,3,4,12,1.71%,99.08,0,7.92,1189,0,95,,"8"""
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Elbow, Fiberglass, 8""-60 Degree",TRUE,Matt,Updated,New,Sideways,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,4,2,8,1.14%,114.77,0,7.04,918,0,56,,"8"""
Propulsion Exhaust,Main Engine Exhaust Assemblies,,"Elbow, Fiberglass, 8""-23 Degree",TRUE,Matt,Updated,New,Sideways,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,2,2,4,0.57%,113.19,0,7.68,453,0,31,,"8"""
Propulsion Exhaust,Main Engine Exhaust Assemblies,TRUE,"Miscellaneous Fittings, Gaskets, Hardware etc.",TRUE,Matt,Updated,New,Sideways,NA,Engineroom,Exhaust,N/A,EA,,,,Calc,20,1,20,2.84%,96.42,9.5,7.5,1928,190,150,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,Exhaust Shrouds (Starboard),TRUE,Matt,Updated,New,Sideways,140.157-40,Hull Exterior,Exhaust,N/A,SF,,,,Guess,2,11.52,23,3.27%,97.41,-10.21,3.79,2244,-235,87,,
Propulsion Exhaust,Main Engine Exhaust Assemblies,,Exhaust Shrouds (Port),TRUE,Matt,Updated,New,Sideways,140.157-40,Hull Exterior,Exhaust,N/A,Each,,,,Guess,2,11.52,23,3.27%,97.41,10.21,3.79,2244,235,87,,
Generator Exhaust,Generator Exhaust Assemblies,,"Pipe, Generator Exhaust, Starboard",TRUE,Matt,Updated,New,Down,103291.001-01,Engineroom,Piping,N/A,LF,,,,Calc,0.9,21.5,19.4,13.21%,103.18,10.52,8.58,1997,204,166,,
Generator Exhaust,Generator Exhaust Assemblies,,"Pipe, Generator Exhaust, Port",TRUE,Matt,Updated,New,Down,103291.002-01,Engineroom,Piping,N/A,LF,,,,Calc,0.9,21.5,19.4,13.21%,103.18,-10.52,8.58,1997,-204,166,,
Generator Exhaust,Generator Exhaust Assemblies,,"Pipe, Generators Exhaust, Port, Water",TRUE,Matt,Updated,New,Down,103291.003-01,Engineroom,Piping,N/A,EA,,,,Calc,0.9,2,1.8,1.23%,92.48,0,7.3,166,0,13,,
Generator Exhaust,Generator Exhaust Assemblies,,"Combo-Sep, 4"" Inlet, 3"" Gas out & 2.5"" Water outlet, Vertical",TRUE,Matt,Updated,New,Down,103399-01,Engineroom,Silencers,N/A,EA,,,,Guess,30,2,60,40.96%,92.7,0,6.81,5562,0,409,,
Generator Exhaust,Generator Exhaust Assemblies,,"Fitting, Silicone with Clamp 90 Degree, 4""",TRUE,Matt,Updated,New,Down,28741,Engineroom,,N/A,EA,,,,Guess,4,2,8,5.46%,92.7,0,6.41,742,0,51,,
Generator Exhaust,Generator Exhaust Assemblies,,"3"" Fiberglass Elbow,90 Degree",TRUE,Matt,Updated,New,Down,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,3,2,6,4.10%,92.7,0,8.69,556,0,52,,"3"""
Generator Exhaust,Generator Exhaust Assemblies,,"3"" Fiberglass Elbow,45 Degree",TRUE,Matt,Updated,New,Down,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,2,6,12,8.19%,99.76,0,8.66,1197,0,104,,"3"""
Generator Exhaust,Generator Exhaust Assemblies,,"4"" Fiberglass Elbow, 90 Degree",TRUE,Matt,Updated,New,Down,190091,Engineroom,Exhaust,N/A,EA,,,,Guess,4,2,8,5.46%,92.58,0,7.69,741,0,62,,"4"""
Generator Exhaust,Generator Exhaust Assemblies,,"2"" Bellow with Clamp, 1 Hump",TRUE,Matt,Updated,New,Down,225878,Engineroom,Bellows,N/A,EA,,,,Guess,2,6,12,8.19%,95.66,0,8.58,1148,0,103,,"3"""
Engine Room Air,Engineroom Ventilation,,"Plenum, Fan Intake Closure Panel",TRUE,Matt,Updated,New,Sideways,102810-01,Engineroom,TBD,N/A,FT2,,,,Guess,0.983,28.25,27.8,4.02%,96.45,9.92,15.62,2678,275,434,,
Engine Room Air,Engineroom Ventilation,,"Plenum, Fan Extraction Closure Panel",TRUE,Matt,Updated,New,Sideways,102812-01,Engineroom,TBD,N/A,EA,,,,Guess,0.983,6.583,6.5,0.94%,96.45,9.92,15.62,624,64,101,,
Engine Room Air,Engineroom Ventilation,,"Transition Damper / Fan S.S. 25"" x 19""",TRUE,Matt,Updated,New,Sideways,103231-01,Engineroom,TBD,N/A,EA,,,,Solidworks,15,1,15,2.17%,95.42,-10.23,17.41,1431,-153,261,,
Engine Room Air,Engineroom Ventilation,,"Damper, Exhaust S.S. 25"" A60 for 19"" Fan",TRUE,Matt,Updated,New,Sideways,103230-01,Engineroom,TBD,TBD,EA,,,,Solidworks,135,1,135,19.53%,95.75,-10.23,17.01,12926,-1381,2296,,
Engine Room Air,Engineroom Ventilation,,"Damper, Intake S.S. 34"" A60 for 24"" Fan",TRUE,Matt,Updated,New,Sideways,103275-01,Engineroom,TBD,TBD,EA,,,,Solidworks,200,1,200,28.93%,94.72,9.87,12.66,18944,1974,2532,,
Engine Room Air,Engineroom Ventilation,,"Transition Damper / Fan S.S. 25"" x 19""",TRUE,Matt,Updated,,Sideways,103266-01,Engineroom,TBD,,EA,,,,Solidworks,30,1,30,4.34%,95.09,9.91,13.13,2853,297,394,,
Engine Room Air,Engineroom Ventilation,,"Demister, Box 65.5"" x 17"" x 7""",TRUE,Matt,Updated,,Sideways,103286-01,Engineroom,TBD,,EA,,,,Solidworks,25,2,50,7.23%,74.83,8.8,24.57,3742,440,1229,,
Engine Room Air,Engineroom Ventilation,,"Fan, Intake, 28"" 7.5HP 1740 RPM 230-460/3/60",TRUE,Matt,Updated,WP3800,Sideways,235239,Engineroom,Fans,,EA,,,,Manufacturer,127,1,127,18.37%,95.5,10.25,14.43,12129,1302,1833,,
Engine Room Air,Engineroom Ventilation,,"Gasket, Sylomer, W12, 28"" Intake Fan",TRUE,Matt,Updated,,Sideways,102920-01,Engineroom,TBD,,EA,,,,Guess,5,1,5,0.72%,95.5,10.25,13.56,478,51,68,,
Engine Room Air,Engineroom Ventilation,,"Mounting Ring, 28"" Intake Fan",TRUE,Matt,Updated,,Sideways,102921-01,Engineroom,TBD,,EA,,,,Solidworks,6,1,6,0.87%,95.5,10.25,13.52,573,62,81,,
Engine Room Air,Engineroom Ventilation,,"Bellmouth Ring, 28"" Intake Fan",TRUE,Matt,Updated,New,Sideways,102924-01,Engineroom,TBD,N/A,EA,,,,Guess,8,1,8,1.16%,95.5,10.25,15.75,764,82,126,,
Engine Room Air,Engineroom Ventilation,,"Fan, Exhaust, 19""  1.5HP 1710 RPM 230-460/3/60",TRUE,Matt,Updated,WP3800,Sideways,22187,Engineroom,Fans,,EA,,,,Manufacturer,61,1,61,8.82%,95.5,-10.25,18.56,5826,-625,1132,,
Engine Room Air,Engineroom Ventilation,,"Gasket, Sylomer, W12, 19"" Exhaust Fan",TRUE,Matt,Updated,,Sideways,103199-01,Engineroom,TBD,,EA,,,,Guess,2,1,2,0.29%,95.5,-10.25,17.82,191,-21,36,,
Engine Room Air,Engineroom Ventilation,,"Mounting Ring, 19"" Exhaust Fan",TRUE,Matt,Updated,,Sideways,103143-01,Engineroom,TBD,,,,,,Solidworks,3,1,3,0.43%,95.5,-10.25,17.78,287,-31,53,,
Engine Room Air,Engineroom Ventilation,,"Screen Mesh, 19"" Exhaust Fan",TRUE,Matt,Updated,WP3800,Sideways,103226-01,Engineroom,TBD,N/A,EA,,,,Guess,2,1,2,0.29%,95.5,-10.25,19.19,191,-21,38,,
Engine Room Air,Engineroom Ventilation,,"Screen Mesh, 28"" Intake Fan",TRUE,Matt,Updated,WP3800,Sideways,102923-01,Engineroom,TBD,N/A,EA,,,,Guess,3,1,3,0.43%,95.5,-10.25,15.6,287,-31,47,,
Engine Room Air,Engineroom Ventilation,,Miscellaneous Hardware,TRUE,Matt,Updated,WP3801,Sideways,NA,Engineroom,TBD,,EA,,,,Guess,10,1,10,1.45%,95.42,0,15.17,954,0,152,,
Electrical,"Electrical System, Forepeak",,Undersole Light Shim,TRUE,Matt,Updated,WP 3800,Sideways,740.011-01,Forepeak,Foundations,N/A,Each,,,,Guess,2,4,8,25.81%,13,0,12.5,104,0,100,,
Electrical,"Electrical System, Forepeak",,"Light Fixture, Marine Utility, Anodized Aluminum, IP65",TRUE,Matt,Updated,WP 3800,Sideways,236468,Forepeak,Lighting,TBD,Each,,,,Guess,5,4,20,64.52%,13,0,12.5,260,0,250,,
Electrical,"Electrical System, Forepeak",,Switch with Cover & Box,TRUE,Matt,Updated,WP 3800,Sideways,NA,Forepeak,Switches,N/A,Each,,,,Guess,3,1,3,9.68%,13,0,12.5,39,0,38,,
