Heading,Spec_Heading,Features,Model,Hyperlink,Source,Weight,Quantity,Material_And_Color,Size
Exterior Lighting & Switching,Exterior Headliner Lighting,"Main Deck Lights, lighting panel and Switches",EuroLED,http://www.hellamarine.com/en/products/interior-exterior-lamps/euroled-150/white-recessed-euroled.html,Estimate,80,1,,
Exterior Lighting & Switching,Search Lights,"Searchlight, 200 Watt",TBD,,Manufacturer,50,1,,
Underwater Lighting,Underwater Light Fixture(s),"Underwater Light, LED, 80watt",,,Guess,8,1,White,
Underwater Lighting,Underwater Light Fixture(s),"Underwater Light, LED, 80watt",,,Guess,8,1,White,
Underwater Lighting,Underwater Light Fixture(s),"Underwater Light, LED, 80watt",,,Guess,8,1,White,
Underwater Lighting,Underwater Light Fixture(s),"Underwater Light, LED, 80watt",,,Guess,8,1,White,
Navigation Lighting,Navigation Lighting Features & Components,Sternlight (LED),NaviLED Pro Stern 2nm,http://www.hellamarine.com/en/products/navigation-lamps/stern/2-nm-naviled-pro-stern-led-navigation-lamp.html,Manufacturer,0.55,1,,
Navigation Lighting,Navigation Lighting Features & Components,Port Navigation Light (LED),NaviLED 2nm,,Manufacturer,0.13,1,,
Navigation Lighting,Navigation Lighting Features & Components,Starboard Navigation Light (LED),NaviLED 2nm,,Manufacturer,0.13,1,,
Navigation Lighting,Navigation Lighting Features & Components,Masthead Navigation Light,NaviLED Pro Masthead 5nm,http://www.hellamarine.com/en/products/navigation-lamps/masthead/5-nm-bsh-naviled-pro-masthead-navigation-lamp.html,Manufacturer,0.33,1,Black,
Navigation Lighting,Navigation Lighting Features & Components,Flood Light,AS3 Flood Light,http://www.perko.com/catalog/deck_hardware/317/snap_type_fender_hook/,Manufacturer,5.75,2,Chrome,
Communication Equipment,Communication Equipment Features & Components Specification,V-Sat Terminal Antenna,V-7,https://www.kvh.com/Commercial-and-OEM/Maritime-Systems/Communications/mini-VSAT-Broadband/TracPhone-V7IP-with-ICM.aspx,Manufacturer,57.6,1,,
Communication Equipment,Communication Equipment Features & Components Specification,V-Sat Communication Modem,V-7 ICM,https://www.kvh.com/Commercial-and-OEM/Maritime-Systems/Communications/mini-VSAT-Broadband/TracPhone-V7IP-with-ICM.aspx,Manufacturer,11.25,1,,
Communication Equipment,Communication Equipment Features & Components Specification,Satellite TV system,HD-7,https://www.kvh.com/Leisure/Marine-Systems/Television.aspx,Manufacturer,61,1,,
Communication Equipment,Communication Equipment Features & Components Specification,Inmarsat,FB 150,https://www.kvh.com/Commercial-and-OEM/Maritime-Systems/Communications.aspx,Manufacturer,11,1,,
Communication Equipment,Communication Equipment Features & Components Specification,Television Antenna,V9112,,Manufacturer,4.85,1,,
Navigation Equipment,Navigation Equipment Features & Components Specification,Primary GPS,GP-320B,,Manufacturer,1.76,1,,
Navigation Equipment,Navigation Equipment Features & Components Specification,Secondary GPS,GP-320B,,Manufacturer,1.76,1,,
Navigation Equipment,Navigation Equipment Features & Components Specification,Infrared Camera #1,M-324CS,,Manufacturer,9,1,,
Navigation Equipment,Navigation Equipment Features & Components Specification,Infrared Camera #2,M-324CS,,Manufacturer,9,1,,
Navigation Equipment,Navigation Equipment Features & Components Specification,"Sensor, Untrasonic Weather Station",110WX,http://www.airmar.com/uploads/Brochures/WX_LAND_APP_revF_single.pdf,Manufacturer,0.8,1,,
Navigation Equipment,Antenna(s),"Radar Antenna, 8ft",TBD,,Shipping Weight,48,1,,
Navigation Equipment,Antenna(s),"Radar Antenna, 6.5ft.",TBD,,Shipping Weight,43,1,,
Navigation Equipment,Antenna(s),VHF Antenna 8ft.,TBD,https://www.comrod.com/,Guess,10,1,,
Navigation Equipment,Antenna(s),"Wifi Antenna, 4ft",TBD,,Guess,3,1,,
Navigation Equipment,Antenna(s),"AIS Antenna, 4ft.",TBD,https://www.comrod.com/,Guess,5,1,,
Navigation Equipment,Antenna(s),GPS / VHF Combination Antenna,TBD,,Shipping Weight,16,1,,
Navigation Equipment,Antenna(s),VHF Antenna 8ft.,TBD,https://www.comrod.com/,Guess,2,1,,
Navigation Equipment,Antenna(s),Cell Phone Antenna,,,Guess,2,1,,
Monitoring Systems,Centralized Monitoring,"Vessel Monitoring, Remote Base Group 2, Assembly - In Attic",,,Guess,40,1,,
Monitoring Systems,Centralized Monitoring,"Vessel Monitoring, Remote Base Group 2, Assembly - In Equipment Room",,,Guess,40,1,,
Monitoring Systems,Centralized Monitoring,"Vessel Monitoring, Remote Base Group 2, Assembly - In Equipment Room",,,Guess,40,1,,
Monitoring Systems,Centralized Monitoring,"Vessel Monitoring, FDAS Assembly",,,Guess,50,1,,
Monitoring Systems,Centralized Monitoring,Enclosure with Vessel Monitoring LBG,,,Guess,55,1,,
Monitoring Systems,Centralized Monitoring,Enclosure with Vessel Monitoring Interfaces Electronics Room,,,Guess,55,1,,
Entertainment Electronics,Media Server,A/V Rack and Electronics - Master Stateroom,,,Guess,250,1,,
Entertainment Electronics,Media Server,"Rack, Head End, Forward Rack Assembly - Main Deck Foyer",,,Guess,190,1,,
Entertainment Electronics,Media Server,"AV Rack, Electronics Room, 40m, Assembly - Main Deck Foyer",,,Guess,400,1,,
Entertainment Electronics,Exterior Speakers,Main Deck Exterior Speakers,C583,https://www.revelspeakers.com/productdetail/~/product/c583.html,Manufacturer,2.8,6,,
Entertainment Electronics,Exterior Speakers,Fly Bridge Exterior Speakers,C583,https://www.revelspeakers.com/productdetail/~/product/c583.html,Manufacturer,2.8,4,,
Steering System,Starboard Rudder Assembly,Starboard Rudder Assembly,,,Guess,400,1,,
Steering System,Starboard Rudder Assembly,Starboard Rudder Shaft,,,Guess,220,1,,
Steering System,Port Rudder Assembly,Port Rudder Assembly,,,Guess,400,1,,
Steering System,Port Rudder Assembly,Port Rudder Shaft,,,Guess,220,1,,
Steering System,Foundations,"Steering Shelf Assembly, Port",,,Solidworks,196,1,,
Steering System,Foundations,"Steering Shelf Assembly, Starboard",,,Solidworks,196,1,,
Steering System,Foundations,Steering Shelf Assembly Back Mounting Plate,,,Solidworks,8,1,,
Steering System,Foundations,Steering Shelf Assembly Back Mounting Plate,,,Solidworks,8,1,,
Steering System,Foundations,Steering Shelf Assembly Back Mounting Plate,,,Solidworks,8,1,,
Steering System,Foundations,Steering Shelf Assembly Back Mounting Plate,,,Solidworks,8,1,,
Steering System,Foundations,"Rudder, Stop Plate",,,Guess,4,1,,
Steering System,Foundations,"Rudder, Stop Plate",,,Guess,4,1,,
Steering System,Foundations,Miscellaneous Hardware,,,Guess,10,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","Pipe, Rudder Stock 10"" OD (Starboard)",,,Guess,2,1,,"10"""
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","Pipe, Rudder Stock 10"" OD (Port)",,,Guess,2,1,,"10"""
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar",Tie Bar Assembly,,,Guess,50,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","COLLAR, BRONZE 5.505""ID X 8.125"" OD",,,Solidworks,9,1,Bronze,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","COLLAR, BRONZE 5.505""ID X 8.125"" OD",,,Solidworks,9,1,Bronze,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","COLLAR, BRONZE 5.505""ID X 8.125"" OD",,,Solidworks,9,1,Bronze,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","COLLAR, BRONZE 5.505""ID X 8.125"" OD",,,Solidworks,9,1,Bronze,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","BEARING, RUDDER UPPER 5-1/2"" ID X 9"" OD X 6-1/4"" L",,,Guess,5,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","BEARING, RUDDER UPPER 5-1/2"" ID X 9"" OD X 6-1/4"" L",,,Guess,5,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","BEARING, RUDDER LOWER, 5-1/2"" ID X 6-1/2"" OD X 10"" L",,,Solidworks,5,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","BEARING, RUDDER LOWER, 5-1/2"" ID X 6-1/2"" OD X 10"" L",,,Solidworks,5,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","SEAL, RUDDER 5-1/2"" ID X 10"" OD X 5"" L",,,Guess,10,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","SEAL, RUDDER 5-1/2"" ID X 10"" OD X 5"" L",,,Guess,10,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","TILLER ARM, PORT DOUBLE",,,Solidworks,90,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","TILLER ARM, STBD DOUBLE",,,Solidworks,90,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","BELLOW, SINGLE HUMP 10"" ID X 11-1/2"" L",,,Guess,4,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","BELLOW, SINGLE HUMP 10"" ID X 11-1/2"" L",,,Guess,4,1,,
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","CLAMP, 10"" CONSTANT TORQUE, 730 SERIES",,,Guess,1,1,,"10"""
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","CLAMP, 10"" CONSTANT TORQUE, 730 SERIES",,,Guess,1,1,,"10"""
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","CLAMP, 10"" CONSTANT TORQUE, 730 SERIES",,,Guess,1,1,,"10"""
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","CLAMP, 10"" CONSTANT TORQUE, 730 SERIES",,,Guess,1,1,,"10"""
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","CARRIER, 5-1/2"" SHAFT SPARE SEAL",,,Guess,2,1,,"5-1/2"""
Steering System,"Rudder Stocks,Bearings, Collars, Seals, Bellows, Clamps,Tie Bar","CARRIER, 5-1/2"" SHAFT SPARE SEAL",,,Guess,2,1,,"5-1/2"""
Steering System,Rudder Actuators,"Actuator, Starboard Steering",B-76-400,,Guess,75,1,,
Steering System,Rudder Actuators,"Actuator, Starboard Steering",B-76-400,,Guess,75,1,,
Compressed Air system,Compressed Air System Primary Features & Components,"Air Compressor , 2Hp, 10 Gallon, Quiet Cabinet",10020SPCAD,http://www.californiaairtools.com/quiet-flow-series-of-air-compressors-consumer-grade/2-0-hp-air-compressors/cat-10020sq/         https://www.amazon.com/California-Air-Tools-CAT-10020-10-0-Gallon/dp/B00889ZYOW/ref=sr_1_24?ie=UTF8&qid=1529706637&sr=8-24&keywords=california+air+tools,,86,1,,
Compressed Air system,Compressed Air System Primary Features & Components,"15 Gallon Tank, Epoxy Lined",9426K19,https://www.mcmaster.com/#9426k19/=1deez8e,,51,1,Steel,15 Gallon
Compressed Air system,Compressed Air System Primary Features & Components,Air Horn,T-2,https://www.kahlenberg.com/products/marine-signaling/yacht-horns/model-t-2-chimetone-air-horn,,54,1,Chrome,T2
Compressed Air system,Compressed Air System Primary Features & Components,Air Horn Strainer,M-100,https://www.kahlenberg.com/accessories/other-system-accessories/air-strainer-moisture-trap-model-m-100 http://www.mmimarine.com/mmi/index.php?pid=manu&manu_id=1043&start=20&item=view&prod_id=216578,,3,1,Bronze,
Compressed Air system,Compressed Air System Primary Features & Components,"Air Pump, Husky 205",D11021,https://www.allpumps.com.au/assets/pdf/graco/diaphragm-pumps/graco_205.pdf       http://www.indelco.com/pc-1095-111-graco.aspx,,2.5,1,Varies,
Compressed Air system,Compressed Air System Primary Features & Components,"Air Filter, Manual Drain,",4274K24,https://www.mcmaster.com/#4274k24/=1deeys2,,0.5,1,SS,"3/4"""
Compressed Air system,Compressed Air System Primary Features & Components,Air Regulator,4ZM20,https://www.grainger.com/product/SPEEDAIRE-1-2-General-Purpose-Air-Regulator-4ZM20,,1.4,1,Aluminum,"1/2"""
Compressed Air system,Compressed Air System Primary Features & Components,Pneumatic Assembly for Salon Sliding Door,SDU-ELECT-004,,,2,1,,"10"" X 7"" X 3-1/2"""
Compressed Air system,Compressed Air Stations Reel Station,"Hose Reel, Stainless Steel,",5600OLS-LW5,https://www.reelcraft.com/catalog/product_search.aspx?search=5600%20OLS&category=air-ss    https://www.globalindustrial.ca/p/pneumatics/reel-hose/Stainless-Steel-Pre-Rinse/stainless-steel-3-8-35-ft-500-psi-ss-air-water-without-hose?infoParam.campaignId=T9F&gclid=EAIaIQobChMIgKWNmKfo2wIVzWp-Ch0dxQ9iEAYYASABEgIbaPD_BwE,,22,1,SS,14-3/8x14-1/4x6-1/8
Compressed Air system,Compressed Air Stations Reel Station,"Hose - Air - 35' x 3/8"" ID",,https://www.mcmaster.com/#4274k24/=1deeys2,,0.2,35,,
Compressed Air system,Compressed Air Quick Connect Stations,"1/2"" NPTF Female x 3/8"" Coupling",6536K33,https://www.mcmaster.com/#catalog/124/349/=1edrye5,,0.22,1,,
Compressed Air system,Compressed Air Quick Connect Stations,"1/2"" NPTF Female x 3/8"" Coupling",6536K33,https://www.mcmaster.com/#catalog/124/349/=1eds06t,,0.22,1,,
Compressed Air system,Compressed Air Quick Connect Stations,"1/2"" NPTF Female x 3/8"" Coupling",6536K33,https://www.mcmaster.com/#catalog/124/349/=1eds06t,,0.22,1,,
Compressed Air system,Compressed Air Quick Connect Stations,"1/2"" NPTF Female x 3/8"" Coupling",6536K33,https://www.mcmaster.com/#catalog/124/349/=1eds06t,,0.22,1,,
Compressed Air system,Compressed Air Quick Connect Stations,"1/2"" NPTF Female x 3/8"" Coupling",6536K33,https://www.mcmaster.com/#catalog/124/349/=1eds06t,,0.22,1,,
Compressed Air system,Compressed Air Quick Connect Stations,"1/2"" NPTF Female x 3/8"" Coupling",6536K34,https://www.mcmaster.com/#catalog/124/349/=1eds06t,,0.22,1,,
Compressed Air system,Valves,"1/2"" Ball Valve, Full Port, with SS Lever",77-103-10,https://www.amronintl.com/1-2-in-ss-lever-and-nut.html,,0.62,1,Bronze,"1/2"""
Compressed Air system,Valves,"1/2"" Ball Valve, Full Port, with SS Lever",77-103-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,,0.62,1,Bronze,
Compressed Air system,Valves,"1/2"" Ball Valve, Full Port, with SS Lever",77-103-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,,0.62,1,Bronze,
Compressed Air system,Valves,"1/2"" Ball Valve, Full Port, with SS Lever",77-103-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,,0.62,1,Bronze,
Compressed Air system,Valves,"1/2"" Ball Valve, Full Port, with SS Lever",77-103-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,,0.62,1,Bronze,
Compressed Air system,Valves,Solenoid Valve,8210G001,https://www.asco.com/en-us/product/210/380,,2.01,1,Varies,
Compressed Air system,Valves,"1/2"" Ball Valve, Full Port, with SS Lever",77-103-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,Manufacturer,0.62,1,Bronze,"1/2"""
Compressed Air system,Valves,"1/2"" Ball Valve - Hy-Lok",H1B-H-8TPC-S316,http://www.hylokusa.com/,,0.22,1,TBD,"1/2"""
Compressed Air system,Valves,"1/4"" Ball Valve with S.S. Lever",77-101-10,http://cdn.conbraco.com/apollovalves/literature/BVPL9000PriceList_2018.pdf,,0.79,1,Bronze with SS Lever,"1/4"""
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air System Piping - 1/4"" SS",,,Guess,0.1,30,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air System Piping - 1/2""  SS",,,Guess,0.85,51,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air System Piping - 3/4""  SS",,,Guess,1.12,10,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air System Piping - 1/2""  SS",,,Guess,0.85,33.75,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings",Compressed Air System - Pipe Fittings,,,Guess,5,1,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air Piping - 1/2""  SS",,,Guess,0.85,0,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air Piping - 1/2""  Copper",,,Guess,0.344,30.5,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Clamp, Stauff Body STD W/INS 1/2""",,,Guess,2,11,,"1/2"""
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air Piping - 1/2""  SS",,,Guess,0.85,20,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air Piping - 1/2"" Copper",,,Guess,0.344,34.2,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings",Misc Compressed Air system Components,,,Guess,10,1,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air Piping,1/2"" SS",,,Guess,0.85,30,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air Piping,1/2"" Copper",,,Guess,0.344,14.75,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air Piping,1/2"" SS",,,Guess,0.85,20,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Compressed Air Piping - 1/2"" Copper",,,Guess,0.344,13.8,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","1/2"" Bronze Plug",XNL117-08,http://www.meritbrass.com/PricingPdfs/DomesticBrassFittingsListPriceSheet.pdf       http://www.meritbrass.com/Dimensions/DomesticBrassStandardFittings.pdf,,0.11,1,Bronze,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","1/2"" Bronze Plug",XNL117-09,http://www.meritbrass.com/PricingPdfs/DomesticBrassFittingsListPriceSheet.pdf       http://www.meritbrass.com/Dimensions/DomesticBrassStandardFittings.pdf,,0.11,1,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Coupling, Union 1/2"", Dielectric","LF 3005-1/2""",http://media.wattswater.com/ES-LF3005A.pdf https://www.grainger.com/product/WATTS-1-2-Brass-5DMG6,,0.47,1,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Coupling, Union 1/2"", Dielectric","LF 3005-1/2""",http://media.wattswater.com/ES-LF3005A.pdf https://www.grainger.com/product/WATTS-1-2-Brass-5DMG7,,0.47,1,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Coupling, Union 1/2"", Dielectric","LF 3005-1/2""",http://media.wattswater.com/ES-LF3005A.pdf https://www.grainger.com/product/WATTS-1-2-Brass-5DMG8,,0.47,1,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Coupling, Union 1/2"", Dielectric","LF 3005-1/2""",http://media.wattswater.com/ES-LF3005A.pdf https://www.grainger.com/product/WATTS-1-2-Brass-5DMG9,,0.47,1,,
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Hose HY 3/4""  300psi",451 TC-12,https://www.parker.com/,,0.58,2,Hose,"3/4"""
Compressed Air system,"Miscellaneous Piping, Hose & Fittings","Plastic Jar, 32 oz, 4-3/4"" Diameter",42905T7,https://www.mcmaster.com/#42905t7/=1deezgd,,0.5,1,,
Compressed Air Breathing Gases,Dive Compressor System (Engine Room),Dive Compressor System,YP45,,Manufacturer,185,1,,
Compressed Air Breathing Gases,Dive Compressor System (Engine Room),Dive Compressor Piping,,,Estimate,20,1,,
Compressed Air Breathing Gases,"Dive Compressor Piping, Control Room","Piping and Fittings, Air",,,Estimate,10,1,,
Compressed Air Breathing Gases,Dive Bottle Assembly,Scuba Tank Aluminum 80 CuFt. with Boot,,,Guess,35,6,,
Compressed Air Breathing Gases,Dive Bottle Assembly,Dive Tank Rack (Capacity 6 Tanks),,,Guess,8,1,,
Fuel System,DC Fuel Pump,"Fuel Transfer Pump, Rotary Vane",VR050-1122,https://www.jabscoshop.com/marine/pumps/diesel-oil-transfer-pumps/vr050-1122-self-priming-diesel-transfer-pump-up-to-50-litresminute-24-volt-dc.htm,Manufacturer,11.2,1,Varies,
Fuel System,DC Fuel Pump,"Valve, Bypass Relief 1/2"" 50 PSI",PRV69-12-50,http://www.aquatrol.com/pdf/series-69-catalog.pdf,Manufacturer,2.2,1,TBD,"1/2"""
Fuel System,DC Fuel Pump,"3/4"" FPT Ball Valve, 3 Piece  316 S.S.",302F-76666-RTTT-2S,http://www.ballvalve.com/product_302f.htm,Manufacturer,1.8,2,SS,"3/4"""
Fuel System,DC Fuel Pump,"3/4"" Gas Hose",221FR-12,http://ph.parker.com/us/17552/en/fire-resistant-marine-fuel-hose-221fr/221fr-12,Manufacturer,0.54,3,Hose,"3/4"""
Fuel System,DC Fuel Pump,"1/2"" Gas Hose",221FR-8,https://store.livhaven.com/221fr-8-bx-parker-hose.html,Manufacturer,0.34,1,Hose,"1/2"""
Fuel System,DC Fuel Pump,"Swing Check Valve, 3/4"" Bronze",169T34,http://apollovalves.company/submittals/SS_169T_1335.pdf,Manufacturer,1.1,1,,
Fuel System,AC Fuel Pump,"Fuel Transfer Pump, 1.5 Hp., AC Drive 12A Impeller",20EVP12A3 1.5hp,http://goulds.com/centrifugal-pumps-boosters/self-priming-end-suction/marlow-series-20evp-marlow-series-self-priming-pumps/#product-tab-overview,Manufacturer,110,1,Varies,"2"""
Fuel System,AC Fuel Pump,"2"" High Pressure Hose, 4000psi",772TC-32,https://www.parker.com/literature/Hose%20Products%20Division/4480_B772.pdf,Manufacturer,2.75,3,Hose,"2"""
Fuel System,AC Fuel Pump,"2"" Valve, 302F,Stainless Steel, 3 Piece",302F-D6666-RTTT-2S,http://www.ballvalve.com/pdf/302F%20201706V3.7.pdf,Manufacturer,9.4,2,SS,"2"""
Fuel System,AC Fuel Pump,"Swing Check Valve,2"" Bronze",169T2,http://apollovalves.company/submittals/SS_169T_1335.pdf,Manufacturer,5.5,1,,
Fuel System,Fuel Distribution Manifold,"Valve, Globe, Quick Closing",75344,https://www.lkvalves.com/globalassets/inriver/resources/901003-quick-closing-valve-straight-type-ansi-150-data-sheet.pdf,Manufacturer,30.9,1,,
Fuel System,Fuel Distribution Manifold,Valve Actuator Hydraulic Impulse Lever,973307QC,https://www.wosupply.com/media/1149/lk_emergency_shutoff_engineering_guide_new_rev_5.pdf,Estimate,10,1,TBD,TBD
Fuel System,Fuel Distribution Manifold,Welded Manifold Body,Custom,https://www.vnestainless.com/specialty-fabrications,Estimate,35,1,,
Fuel System,Fuel Distribution Manifold,"1-1/4"" npt Ball Valve, Stainless Steel, FEM, 3-Piece",302F-B6666-RTTT-2S,http://www.ballvalve.com/pdf/302F%20201706V3.7.pdf,Manufacter,3.9,2,SS,"1-1/4"""
Fuel System,Fuel Distribution Manifold,"3/4"" FPT Ball Valve, 3 Piece  316 S.S.",302F-76666-RTTT-2S,http://www.ballvalve.com/product_302f.htm,Manufacturer,1.8,2,SS,"3/4"""
Fuel System,Fuel Priming System,Fuel Priming Pump,JAB 18680-0940,https://www.fisheriessupply.com/jabsco-dc-vane-puppy-18680-0940,Manufacturer,5.5,2,Varies,
Fuel System,Fuel Priming System,"1/2"" Stainless Pipe with Fuel",SS-T8-S-035-20,https://www.swagelok.com/downloads/webcatalogs/en/MS-01-181.pdf,Calc,0.23,8,SS,"1/2"""
Fuel System,Fuel Priming System,"Valve, Angle Pattern 3/8"" Tube",B2VHA-6T-316,Need Hyperlink,Estimate,0.5,4,TBD,"3/8"""
Fuel System,Fuel Priming System,"3/4"" FPT Ball Valve, 3 Piece  316 S.S.",302F-76666-RTTT-2S,http://www.ballvalve.com/product_302f.htm,Manufacturer,1.8,1,SS,"3/4"""
Fuel System,"Fuel Filters, Meters and Other Accesories","Fuel Filter, 10"" Duplex",DFBO-5,http://www.parker.com/Literature/Racor/Tech_Install/73309_Dual_FBO_Manual.pdf,Estimate,88.2,2,TBD,"10"""
Fuel System,"Fuel Filters, Meters and Other Accesories","1/4"" Stainless Pipe with Fuel",SS-T4-S-035-20,https://www.swagelok.com/downloads/webcatalogs/en/MS-01-181.pdf,Calc,0.09,6,SS,"1/2"""
Fuel System,"Fuel Filters, Meters and Other Accesories",Transfer Fuel Filter With Cartridges,"900445-GNG210 W/ 2""NPT",http://www.precisionfiltration.com/products/PDF/Combination%20Fuel%20Monitor%20Filter%20Water%20Separators.pdf,Manufacturer,55,1,Varies,"2"""
Fuel System,"Fuel Filters, Meters and Other Accesories","Fuel Meter, 2""",TS20AW04AATU,https://www.fillrite.com/index.cfm/products/productdetail/?p=225&ps=106,Manufacturer,99,1,,"2"""
Fuel System,"Fuel Filters, Meters and Other Accesories","Gauge, Differential Pressure Aluminum, 0-30 psi, with 3 way valve",SC-5150-30-E,https://www.schultzproducts.com/Schultz-D-P-Gauge.html,Estimate,3,1,,
Fuel System,"Fuel Filters, Meters and Other Accesories","Nipple, S.S. Female Threaded",SSH6-63Y,https://www.valinonline.com/Products/SSH6-63Y,Calc,0.46,1,TBD,
Fuel System,"Fuel Filters, Meters and Other Accesories",Dust Cap,H6-66M,https://www.valinonline.com/Products/H6-66M,Estimate,0.1,1,TBD,
Fuel System,"Fuel Filters, Meters and Other Accesories","Fuel Filter, Metal Bowl, 30 micron",75500MAXM30,http://www.parker.com/Literature/Racor/RSL/RSL0313_CUT_75500MAX-MAXM-MAXP.pdf,Manufacturer,17,2,,
Fuel System,Fuel Supply Lines and Generator Return Lines,"1"" Gas Hose",221FR-16,https://www.hydradynellc.com/product/221FR-16-RL/221fr-series,,0.7,3,Hose,"1"""
Fuel System,Fuel Supply Lines and Generator Return Lines,"1/2"" Gas Hose",221FR-8,https://store.livhaven.com/221fr-8-bx-parker-hose.html,Manufacturer,0.34,6,Hose,"1/2"""
Fuel System,Fuel Supply Lines and Generator Return Lines,"1/2"" Stainless Pipe with Fuel",SS-T8-S-035-20,https://www.swagelok.com/downloads/webcatalogs/en/MS-01-181.pdf,Calc,0.23,75,SS,"1/2"""
Fuel System,Fuel Supply Lines and Generator Return Lines,"1"" Stainless Pipe with Fuel",SS-T16-S-083-20,https://www.swagelok.com/downloads/webcatalogs/en/MS-01-181.pdf,Calc,1.023,12,SS,"1"""
Fuel System,Fuel Transfer Lines,"2"" Stainless Pipe with Fuel",SS-T32-S-134-20,https://www.swagelok.com/downloads/webcatalogs/en/MS-01-181.pdf,Calc,3.609,16,SS,"2"""
Fuel System,Fuel Transfer Lines,"1-1/4"" Stainless Pipe with Fuel",SS-T20-S-095-20,https://www.swagelok.com/downloads/webcatalogs/en/MS-01-181.pdf,Calc,1.527,100,SS,"1-1/4"""
Fuel System,Fuel Tank #1,Fuel Tank #1 Structure,Custom,Weight is 0.6406*(gallons) + 283.69 from WP38 study,Estimate,1000,1,,
Fuel System,Fuel Tank #1,"1-1/4"" npt Ball Valve, Stainless Steel, FEM, 3-Piece",302F-B6666-RTTT-2S,http://www.ballvalve.com/pdf/302F%20201706V3.7.pdf,Manufacter,3.9,1,SS,"1-1/4"""
Fuel System,Fuel Tank #1,"1/2"" Ball Valve, Full Port, with SS Lever",77-103-10,https://www.amronintl.com/1-2-in-ss-lever-and-nut.html,Manufacturer,0.69,1,Bronze,"1/2"""
